Індекс дня,Показник відмов
01.01.21,"57,83%"
02.01.21,"59,44%"
03.01.21,"55,49%"
04.01.21,"53,57%"
05.01.21,"51,93%"
06.01.21,"53,40%"
07.01.21,"52,71%"
08.01.21,"52,03%"
09.01.21,"56,57%"
10.01.21,"56,60%"
11.01.21,"50,49%"
12.01.21,"49,23%"
13.01.21,"49,33%"
14.01.21,"50,36%"
15.01.21,"50,42%"
16.01.21,"55,32%"
17.01.21,"55,03%"
18.01.21,"54,11%"
19.01.21,"47,43%"
20.01.21,"51,73%"
21.01.21,"50,65%"
22.01.21,"51,84%"
23.01.21,"56,90%"
24.01.21,"55,38%"
25.01.21,"53,15%"
26.01.21,"53,63%"
27.01.21,"49,19%"
28.01.21,"51,87%"
29.01.21,"52,57%"
30.01.21,"53,98%"
31.01.21,"53,89%"
01.02.21,"50,44%"
02.02.21,"51,12%"
03.02.21,"50,92%"
04.02.21,"49,85%"
05.02.21,"49,32%"
06.02.21,"53,23%"
07.02.21,"52,55%"
08.02.21,"50,19%"
09.02.21,"50,58%"
10.02.21,"50,88%"
11.02.21,"49,45%"
12.02.21,"49,64%"
13.02.21,"51,77%"
14.02.21,"52,09%"
15.02.21,"53,21%"
16.02.21,"50,37%"
17.02.21,"48,60%"
18.02.21,"51,45%"
19.02.21,"51,33%"
20.02.21,"53,51%"
21.02.21,"54,34%"
22.02.21,"48,98%"
23.02.21,"49,94%"
24.02.21,"49,52%"
25.02.21,"50,66%"
26.02.21,"52,70%"
27.02.21,"43,79%"
28.02.21,"51,95%"
01.03.21,"54,57%"
02.03.21,"51,99%"
03.03.21,"53,32%"
04.03.21,"51,78%"
05.03.21,"50,15%"
06.03.21,"55,72%"
07.03.21,"56,06%"
08.03.21,"51,02%"
09.03.21,"53,18%"
10.03.21,"51,41%"
11.03.21,"48,32%"
12.03.21,"49,94%"
13.03.21,"58,19%"
14.03.21,"57,38%"
15.03.21,"51,19%"
16.03.21,"49,93%"
17.03.21,"52,00%"
18.03.21,"50,19%"
19.03.21,"50,34%"
20.03.21,"55,56%"
21.03.21,"53,99%"
22.03.21,"53,61%"
23.03.21,"52,98%"
24.03.21,"52,82%"
25.03.21,"52,87%"
26.03.21,"57,00%"
27.03.21,"57,72%"
28.03.21,"55,54%"
29.03.21,"49,71%"
30.03.21,"52,37%"
31.03.21,"50,32%"
01.04.21,"51,91%"
02.04.21,"49,64%"
03.04.21,"55,32%"
04.04.21,"56,93%"
05.04.21,"50,22%"
06.04.21,"51,56%"
07.04.21,"50,27%"
08.04.21,"50,61%"
09.04.21,"52,71%"
10.04.21,"56,53%"
11.04.21,"58,81%"
12.04.21,"52,44%"
13.04.21,"51,38%"
14.04.21,"51,92%"
15.04.21,"56,40%"
16.04.21,"56,81%"
17.04.21,"57,32%"
18.04.21,"57,10%"
19.04.21,"57,61%"
20.04.21,"58,29%"
21.04.21,"56,15%"
22.04.21,"56,16%"
23.04.21,"55,53%"
24.04.21,"58,70%"
25.04.21,"60,84%"
26.04.21,"56,95%"
27.04.21,"56,20%"
