Індекс дня,Сеанси,Користувачі,Показник відмов,LOF_Score,IsolationForest_Score,Z_Score
01.01.21,1181,1118,0.5783,-1,-1,0
02.01.21,1430,1340,0.5943999999999999,1,-1,0
03.01.21,1440,1329,0.5549000000000001,1,1,0
04.01.21,1865,1739,0.5357,1,1,0
05.01.21,2615,2422,0.5193,1,1,0
06.01.21,2659,2470,0.534,1,1,0
07.01.21,2292,2093,0.5271,1,1,0
08.01.21,2122,1932,0.5203,1,1,0
09.01.21,1439,1337,0.5657,1,1,0
10.01.21,1493,1401,0.5660000000000001,1,1,0
11.01.21,2440,2225,0.5049,1,1,0
12.01.21,2456,2221,0.49229999999999996,1,1,0
13.01.21,2325,2101,0.49329999999999996,1,1,0
14.01.21,2329,2108,0.5036,1,1,0
15.01.21,2023,1847,0.5042,1,1,0
16.01.21,1410,1309,0.5532,1,1,0
17.01.21,1572,1426,0.5503,1,1,0
18.01.21,1957,1778,0.5411,1,1,0
19.01.21,2817,2502,0.4743,1,1,0
20.01.21,2884,2575,0.5173,1,1,0
21.01.21,2699,2422,0.5065,1,1,0
22.01.21,2506,2236,0.5184000000000001,1,1,0
23.01.21,1724,1543,0.569,1,1,0
24.01.21,1943,1777,0.5538000000000001,1,1,0
25.01.21,2713,2444,0.5315,1,1,0
26.01.21,2601,2319,0.5363,1,1,0
27.01.21,2978,2687,0.4919,1,1,0
28.01.21,2562,2313,0.5186999999999999,1,1,0
29.01.21,2317,2102,0.5257000000000001,1,1,0
30.01.21,1632,1464,0.5398,1,1,0
31.01.21,1787,1618,0.5389,1,1,0
01.02.21,2718,2446,0.5044,1,1,0
02.02.21,2999,2697,0.5112,1,1,0
03.02.21,3048,2777,0.5092,1,1,0
04.02.21,2678,2416,0.4985,1,1,0
05.02.21,2413,2191,0.4932,1,1,0
06.02.21,1533,1402,0.5323,1,1,0
07.02.21,1625,1455,0.5255,1,1,0
08.02.21,2576,2337,0.5019,1,1,0
09.02.21,2428,2211,0.5058,1,1,0
10.02.21,2612,2350,0.5088,1,1,0
11.02.21,2350,2116,0.49450000000000005,1,1,0
12.02.21,1948,1788,0.4964,1,1,0
13.02.21,1441,1328,0.5177,1,1,0
14.02.21,1486,1354,0.5209,1,1,0
15.02.21,1917,1735,0.5321,1,1,0
16.02.21,2438,2186,0.5036999999999999,1,1,0
17.02.21,2710,2415,0.486,1,1,0
18.02.21,2624,2329,0.5145000000000001,1,1,0
19.02.21,2176,1962,0.5133,1,1,0
20.02.21,1467,1341,0.5351,1,1,0
21.02.21,1590,1431,0.5434,1,1,0
22.02.21,2448,2213,0.48979999999999996,1,1,0
23.02.21,2513,2262,0.49939999999999996,1,1,0
24.02.21,2581,2308,0.49520000000000003,1,1,0
25.02.21,2712,2430,0.5065999999999999,1,1,0
26.02.21,2372,2159,0.527,1,1,0
27.02.21,3784,3526,0.4379,-1,-1,0
28.02.21,2356,2165,0.5195000000000001,1,1,0
01.03.21,3372,3086,0.5457,1,-1,0
02.03.21,3743,3415,0.5199,1,-1,0
03.03.21,3284,2999,0.5332,1,1,0
04.03.21,2806,2560,0.5178,1,1,0
05.03.21,2353,2128,0.5015,1,1,0
06.03.21,1730,1581,0.5572,1,1,0
07.03.21,1914,1778,0.5606,1,1,0
08.03.21,2603,2346,0.5102,1,1,0
09.03.21,2717,2499,0.5318,1,1,0
10.03.21,3013,2782,0.5141,1,1,0
11.03.21,3036,2754,0.4832,1,1,0
12.03.21,2371,2167,0.49939999999999996,1,1,0
13.03.21,1734,1601,0.5819,1,1,0
14.03.21,1680,1519,0.5738,1,1,0
15.03.21,2731,2485,0.5119,1,1,0
16.03.21,2822,2568,0.4993,1,1,0
17.03.21,2969,2716,0.52,1,1,0
18.03.21,2843,2598,0.5019,1,1,0
19.03.21,2352,2176,0.5034000000000001,1,1,0
20.03.21,1764,1619,0.5556,1,1,0
21.03.21,1880,1735,0.5399,1,1,0
22.03.21,2675,2421,0.5361,1,1,0
23.03.21,3003,2711,0.5297999999999999,1,1,0
24.03.21,2976,2697,0.5282,1,1,0
25.03.21,2752,2520,0.5287,1,1,0
26.03.21,2193,2021,0.57,1,1,0
27.03.21,1826,1709,0.5771999999999999,1,1,0
28.03.21,1858,1696,0.5554,1,1,0
29.03.21,2768,2508,0.4971,1,1,0
30.03.21,2704,2435,0.5236999999999999,1,1,0
31.03.21,2935,2650,0.5032,1,1,0
01.04.21,2778,2547,0.5191,1,1,0
02.04.21,2200,2003,0.4964,1,1,0
03.04.21,1721,1574,0.5532,1,1,0
04.04.21,1725,1587,0.5693,1,1,0
05.04.21,2537,2303,0.5022,1,1,0
06.04.21,2886,2613,0.5156000000000001,1,1,0
07.04.21,2974,2696,0.5027,1,1,0
08.04.21,2960,2659,0.5061,1,1,0
09.04.21,2563,2341,0.5271,1,1,0
10.04.21,1946,1796,0.5653,1,1,0
11.04.21,1889,1743,0.5881000000000001,1,-1,0
12.04.21,2952,2651,0.5244,1,1,0
13.04.21,3036,2721,0.5138,1,1,0
14.04.21,2945,2653,0.5192,1,1,0
15.04.21,2984,2757,0.564,1,1,0
16.04.21,2857,2635,0.5681,1,1,0
17.04.21,1933,1752,0.5732,1,1,0
18.04.21,1872,1718,0.5710000000000001,1,1,0
19.04.21,3107,2892,0.5761,1,-1,0
20.04.21,3117,2877,0.5829,1,-1,0
21.04.21,3186,2908,0.5615,1,1,0
22.04.21,3460,3155,0.5616,1,-1,0
23.04.21,2597,2404,0.5553,1,1,0
24.04.21,1729,1590,0.5870000000000001,1,-1,0
25.04.21,1854,1727,0.6084,1,-1,0
26.04.21,3013,2780,0.5695,1,1,0
27.04.21,3162,2911,0.562,1,1,0
28.04.21,3322,3045,0.5388000000000001,1,-1,0
29.04.21,3117,2832,0.5656,1,1,0
30.04.21,2111,1935,0.4988,1,1,0
01.05.21,1423,1331,0.5264,1,1,0
02.05.21,1555,1429,0.546,1,1,0
03.05.21,2400,2194,0.49920000000000003,1,1,0
04.05.21,2631,2399,0.5108,1,1,0
05.05.21,2668,2444,0.49329999999999996,1,1,0
06.05.21,2727,2451,0.4334,1,1,0
07.05.21,2362,2127,0.4915,1,1,0
08.05.21,1499,1370,0.5677,1,1,0
09.05.21,1539,1412,0.5159,1,1,0
10.05.21,2717,2484,0.45270000000000005,1,1,0
11.05.21,2814,2545,0.46840000000000004,1,1,0
12.05.21,2748,2458,0.456,1,1,0
13.05.21,2403,2144,0.4603,1,1,0
14.05.21,2210,1987,0.4656,1,1,0
15.05.21,1554,1401,0.5277000000000001,1,1,0
16.05.21,1780,1599,0.541,1,1,0
17.05.21,2587,2314,0.4635,1,1,0
18.05.21,2787,2530,0.4772,1,1,0
19.05.21,2643,2372,0.46950000000000003,1,1,0
20.05.21,2799,2534,0.46909999999999996,1,1,0
21.05.21,2369,2146,0.4458,1,1,0
22.05.21,1422,1315,0.5316,1,1,0
23.05.21,1582,1454,0.5158,1,1,0
24.05.21,2395,2178,0.4672,1,1,0
25.05.21,2835,2566,0.44060000000000005,1,1,0
26.05.21,2721,2478,0.4579,1,1,0
27.05.21,2676,2359,0.457,1,1,0
28.05.21,1771,1613,0.5082,1,1,0
29.05.21,1452,1319,0.4986,1,1,0
30.05.21,1504,1363,0.48340000000000005,1,1,0
31.05.21,1765,1622,0.5093,1,1,0
01.06.21,2700,2400,0.4422,1,1,0
02.06.21,2552,2299,0.4667,1,1,0
03.06.21,2907,2566,0.4334,1,1,0
04.06.21,2402,2139,0.4788,1,1,0
05.06.21,1559,1414,0.5228,1,1,0
06.06.21,1660,1527,0.48979999999999996,1,1,0
07.06.21,2607,2351,0.4622,1,1,0
08.06.21,2832,2545,0.44630000000000003,1,1,0
09.06.21,2572,2298,0.4456,1,1,0
10.06.21,2551,2296,0.4673,1,1,0
11.06.21,2163,1981,0.4905,1,1,0
12.06.21,1454,1346,0.5193,1,1,0
13.06.21,1613,1489,0.5338,1,1,0
14.06.21,2451,2231,0.4704,1,1,0
15.06.21,2723,2446,0.47340000000000004,1,1,0
16.06.21,2601,2358,0.4698,1,1,0
17.06.21,2717,2475,0.445,1,1,0
18.06.21,2056,1855,0.4669,1,1,0
19.06.21,1428,1321,0.5217,1,1,0
20.06.21,1621,1489,0.5238,1,1,0
21.06.21,2518,2282,0.4226,1,1,0
22.06.21,2467,2280,0.4678,1,1,0
23.06.21,2561,2289,0.485,1,1,0
