Заголовок,Дата публікації,Вміст,Рубрика,Посилання на статтю
"РФ тримає на кордоні та окупованих територіях 550 тис. солдатів, - ЗМІ ",05.06 20:41,На тимчасово окупованих територіях України та біля кордону Російська Федерація зосередила близько 550 тисяч солдатів.,Росія,https://mignews.ua/uk/news/ukraine/rf-derzhit-na-granice-i-okkupirovannyh-territoriyah-550-tys-soldat-smi.html
Графіки вимкнення світла в Україні на 6 червня ,05.06 19:54,"У четвер, 6 червня, українцям знову відключатимуть світло. Ліміти на споживання електроенергії діятимуть для кожної області України з 00:00 до 24:00.",Енергетика,https://mignews.ua/uk/news/ukraine/grafiki-otklyucheniya-sveta-v-ukraine-na-6-iyunya.html
ЗМІ оцінили вихід із тіні української розвідки і контакт із цифровим поколінням ,05.06 19:03,"Світові спецслужби, як правило, працюють приховано, уникаючи привернення уваги. Однак ГУР МО України обрало іншу тактику, діючи публічно і прозоро, проявляючи активність, зокрема в соцмережах.",Новини,https://mignews.ua/uk/news/ukraine/smi-ocenili-vyhod-iz-teni-ukrainskoj-razvedki-i-kontakt-s-cifrovym-pokoleniem.html
"I'll be back: Гуменюк призначили в ОК ""Південь"" ",05.06 17:06,"Наталія Гуменюк обійняла посаду заступниці начальника управління комунікацій оперативного командування ""Південь"".",Новини,https://mignews.ua/uk/news/ukraine/ill-be-back-gumenyuk-naznachili-v-ok-yug.html
ЄБРР виділить Україні €300 млн на підтримку енергетики ,05.06 16:22,Європейський банк реконструкції та розвитку виділить Україні 300 млн євро на підтримку енергетики.,Енергетика,https://mignews.ua/uk/news/ukraine/ebrr-vydelit-ukraine-300-mln-na-podderzhku-energetiki.html
Аномальная жара: что ждет Европу и Украину этим летом ,05.06 15:55,Погода в Украине этим летом может принести немало сюрпризов и рекордов.,У світі,https://mignews.ua/uk/news/ukraine/anomalnaya-zhara-chto-zhdet-evropu-i-ukrainu-etim-letom.html
❗️В Україні втретє за день масштабна повітряна тривога. МіГ-31К у повітрі ,05.06 15:37,"У Повітряних силах ЗСУ попередили про ракетну небезпеку по всій території, оскільки зафіксовано зліт військового винищувача МіГ-31К з аеродрому РФ. О 16:09 почалися відбої",Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-vtoroj-raz-za-den-masshtabnaya-vozdushnaya-trevoga-mig-31k-v-vozduhe.html
"""Укренерго"" попереджає: сьогодні відключення можуть бути понад 4 години ",05.06 13:18,Причиною застосування заходів обмеження є наслідки шести ракетних обстрілів Росією по українських електростанціях.,Україна,https://mignews.ua/uk/news/ukraine/ukrenergo-preduprezhdaet-segodnya-otklyucheniya-mogut-byt-bolee-4-chasov.html
В Україні е-квиток для транспорту прирівняють до паперового ,05.06 12:54,Сьогодні Рада підтримала законопроєкт про впровадження електронних квитків в автомобільному та міському електротранспорті.,Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-e-bilet-dlya-transporta-priravnyayut-k-bumazhnomu.html
За час війни армія Росія пошкодила в Україні понад 210 тисяч будівель ,05.06 11:06,"Жодне місто в Україні не зазнавало стільки руйнувань, скільки зазнав тимчасово окупований Маріуполь.",Україна,https://mignews.ua/uk/news/ukraine/za-vremya-vojny-armiya-rossiya-povredila-v-ukraine-bolee-210-tysyach-zdanij.html
